disease_id,disease_name,symptoms
D001,Cảm lạnh thông thường,"Chảy_nước_mũi, Sốt, Đau_nhức_cơ_thể"
D001,Cảm lạnh thông thường,"Nghẹt_mũi, Khàn_giọng, Ho_khan"
D001,Cảm lạnh thông thường,"Hắt_hơi_liên_tục, Đau_xoang, Sổ_mũi"
D001,Cảm lạnh thông thường,"Sốt_nhẹ, Đau_đầu_âm_ỉ, Chảy_mũi_lỏng"
D001,Cảm lạnh thông thường,"Mất_khứu_giác, Ho_có_đờm, Nghẹt_mũi_khó_chịu"
D001,Cảm lạnh thông thường,"Khó_thở_bằng_mũi, Đau_nhức_toàn_thân"
D001,Cảm lạnh thông thường,"Sổ_mũi_liên_tục, Ngứa_họng, Tức_xoang"
D001,Cảm lạnh thông thường,"Đau_đầu, Hắt_xì, Chảy_nước_mũi_nhiều, Khan_tiếng"
D001,Cảm lạnh thông thường,"Sốt_cao, Ho_liên_tục, Nghẹt_mũi_nhiều"
D001,Cảm lạnh thông thường,"Nhức_đầu, Đau_mình_mẩy, Chảy_nước_mũi_ít"
D001,Cảm lạnh thông thường,"Sổ_mũi, Ho_nhẹ, Đau_xoang, Tắc_mũi"
D001,Cảm lạnh thông thường,"Bị_sốt, Đau_hốc_mắt, Ho_dữ_dội"
D001,Cảm lạnh thông thường,"Chảy_mũi_trong, Khó_thở_bằng_mũi, Giọng_khàn"
D001,Cảm lạnh thông thường,"Nghẹt_mũi, Đau_đầu, Ho_khan_kéo_dài, Hắt_hơi"
D001,Cảm lạnh thông thường,"Sốt_nhẹ, Áp_lực_xoang, Ho_tức_ngực, Sổ_mũi_nhiều"
D001,Cảm lạnh thông thường,"Nước_mũi_chảy_ròng, Đau_nhức_nhẹ, Mất_giọng"
D001,Cảm lạnh thông thường,"Bị_nhức_đầu, Ho, Đau_đầu_vùng_xoang"
D001,Cảm lạnh thông thường,"Nghẹt_một_bên_mũi, Chảy_nước_mũi_liên_tục, Hơi_sốt"
D001,Cảm lạnh thông thường,"Nhức_mỏi, Không_ngửi_được, Ho_khàn"
D001,Cảm lạnh thông thường,"Đau_xương_khớp, Ngứa_cổ, Sốt_cao, Sổ_mũi"
D001,Cảm lạnh thông thường,"Sốt, Hắt_hơi_nhiều, Bị_bít_mũi, Ho_có_đờm"
D001,Cảm lạnh thông thường,"Giảm_khứu_giác, Đau_đầu_nhẹ, Chảy_mũi"
D001,Cảm lạnh thông thường,"Khàn_giọng, Nghẹt_cả_hai_bên, Ho_ra_đờm"
D001,Cảm lạnh thông thường,"Hắt_xì, Sổ_mũi_liên_tục, Đau_cơ"
D001,Cảm lạnh thông thường,"Đau_xoang, Nghẹt_mũi_nhiều, Đau_đầu_dữ_dội, Sốt"
D001,Cảm lạnh thông thường,"Đau_nhức_toàn_thân, Chảy_nước_mũi"
D001,Cảm lạnh thông thường,"Ho_khan, Bị_sốt, Tắc_mũi, Đau_đầu"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi_liên_tục, Ho_không_dứt, Đau_hốc_mắt"
D001,Cảm lạnh thông thường,"Hắt_hơi, Nghẹt_mũi_khó_chịu, Sốt_nhẹ"
D001,Cảm lạnh thông thường,"Tức_xoang, Ngửi_kém, Nhức_đầu"
D001,Cảm lạnh thông thường,"Chảy_mũi_trong, Ho_liên_tục, Sổ_mũi_nhiều, Đau_xoang"
D001,Cảm lạnh thông thường,"Đau_đầu_vùng_xoang, Chảy_nước_mũi_ít, Đau_nhức_cơ_thể"
D001,Cảm lạnh thông thường,"Ho_nhẹ, Mất_khứu_giác, Khó_thở_bằng_mũi"
D001,Cảm lạnh thông thường,"Áp_lực_xoang, Sốt_cao, Nghẹt_mũi"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi_nhiều, Khàn_giọng, Bị_nhức_đầu, Ho_có_đờm"
D001,Cảm lạnh thông thường,"Bị_sổ_mũi, Đau_mình_mẩy, Đau_xương_khớp"
D001,Cảm lạnh thông thường,"Hắt_hơi_liên_tục, Nặng_xoang, Đau_đầu_âm_ỉ"
D001,Cảm lạnh thông thường,"Đau_cơ, Sổ_mũi, Nói_không_ra_tiếng"
D001,Cảm lạnh thông thường,"Nghẹt_một_bên_mũi, Ho_khan_kéo_dài, Nhức_mỏi"
D001,Cảm lạnh thông thường,"Hơi_sốt, Giảm_khứu_giác, Bị_bít_mũi, Chảy_mũi"
D001,Cảm lạnh thông thường,"Ho_dữ_dội, Tắc_mũi, Sốt, Ngứa_họng"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi, Nghẹt_mũi_nhiều, Đau_hốc_mắt"
D001,Cảm lạnh thông thường,"Sổ_mũi_liên_tục, Mất_giọng, Ho_khàn"
D001,Cảm lạnh thông thường,"Đau_đầu_nhẹ, Ngứa_cổ, Sốt_nhẹ"
D001,Cảm lạnh thông thường,"Chảy_mũi_lỏng, Đau_xoang, Ho_ra_đờm"
D001,Cảm lạnh thông thường,"Hắt_xì, Cảm_giác_sốt, Đau_nhức_toàn_thân"
D001,Cảm lạnh thông thường,"Ho_tức_ngực, Khó_thở_bằng_mũi, Đau_đầu"
D001,Cảm lạnh thông thường,"Chảy_nước_mũi_ít, Đau_nhức_cơ_thể, Nghẹt_cả_hai_bên"
