sentence_id,token,label
1,Chào,O
1,bác,O
1,sĩ,O
1,,O
1,gần,O
1,đây,O
1,tôi,O
1,bị,O
1,chảy,B-SYMPTOM
1,nước,I-SYMPTOM
1,mũi,I-SYMPTOM
1,liên,I-SYMPTOM
1,tục,I-SYMPTOM
1,và,O
1,ho,B-SYMPTOM
1,khàn,I-SYMPTOM
1,kéo,I-SYMPTOM
1,dài,I-SYMPTOM
2,Bác,O
2,sĩ,O
2,ơi,O
2,,O
2,tôi,O
2,có,O
2,cảm,B-SYMPTOM
2,giác,I-SYMPTOM
2,sốt,I-SYMPTOM
2,nhẹ,I-SYMPTOM
2,và,O
2,đau,B-SYMPTOM
2,đầu,I-SYMPTOM
2,âm,I-SYMPTOM
2,ỉ,I-SYMPTOM
3,Tôi,O
3,thấy,O
3,rất,O
3,mệt,B-SYMPTOM
3,mỏi,I-SYMPTOM
3,và,O
3,bị,O
3,hắt,B-SYMPTOM
3,hơi,I-SYMPTOM
3,nhiều,I-SYMPTOM
4,Mũi,O
4,của,O
4,tôi,O
4,luôn,O
4,trong,O
4,tình,O
4,trạng,O
4,tắc,B-SYMPTOM
4,mũi,I-SYMPTOM
4,và,O
4,khó,B-SYMPTOM
4,thở,I-SYMPTOM
4,bằng,I-SYMPTOM
4,mũi,I-SYMPTOM
5,Có,O
5,phải,O
5,tôi,O
5,đã,O
5,bị,O
5,Cảm,B-DISEASE
5,lạnh,I-DISEASE
5,thông,I-DISEASE
5,thường,I-DISEASE
5,không,O
5,ạ,O
6,Triệu,O
6,chứng,O
6,của,O
6,tôi,O
6,là,O
6,đau,B-SYMPTOM
6,rát,I-SYMPTOM
6,họng,I-SYMPTOM
6,và,O
6,ho,B-SYMPTOM
6,không,I-SYMPTOM
6,dứt,I-SYMPTOM
7,Tôi,O
7,đã,O
7,bị,O
7,nhức,B-SYMPTOM
7,đầu,I-SYMPTOM
7,dữ,I-SYMPTOM
7,dội,I-SYMPTOM
7,và,O
7,có,O
7,sốt,B-SYMPTOM
7,cao,I-SYMPTOM
8,Mũi,O
8,của,O
8,tôi,O
8,chảy,B-SYMPTOM
8,nước,I-SYMPTOM
8,mũi,I-SYMPTOM
8,nhiều,I-SYMPTOM
8,như,O
8,suối,O
8,và,O
8,giọng,B-SYMPTOM
8,khàn,I-SYMPTOM
9,Gần,O
9,đây,O
9,tôi,O
9,bị,O
9,ngứa,B-SYMPTOM
9,cổ,I-SYMPTOM
9,họng,I-SYMPTOM
9,khiến,O
9,tôi,O
9,bị,O
9,ho,B-SYMPTOM
9,húng,I-SYMPTOM
9,hắng,I-SYMPTOM
10,Tôi,O
10,bị,O
10,đau,B-SYMPTOM
10,mình,I-SYMPTOM
10,mẩy,I-SYMPTOM
10,và,O
10,nhức,B-SYMPTOM
10,mỏi,I-SYMPTOM
10,toàn,I-SYMPTOM
10,thân,I-SYMPTOM
11,Tôi,O
11,nghẹt,B-SYMPTOM
11,cả,I-SYMPTOM
11,hai,I-SYMPTOM
11,bên,I-SYMPTOM
11,mũi,I-SYMPTOM
11,và,O
11,không,B-SYMPTOM
11,ngửi,I-SYMPTOM
11,được,I-SYMPTOM
12,Có,O
12,lúc,O
12,tôi,O
12,thấy,O
12,áp,B-SYMPTOM
12,lực,I-SYMPTOM
12,xoang,I-SYMPTOM
12,rất,O
12,khó,O
12,chịu,O
13,Tôi,O
13,cảm,O
13,thấy,O
13,hơi,B-SYMPTOM
13,sốt,I-SYMPTOM
13,và,O
13,đau,B-SYMPTOM
13,xương,I-SYMPTOM
13,khớp,I-SYMPTOM
14,Hôm,O
14,qua,O
14,tôi,O
14,có,O
14,bị,O
14,ho,B-SYMPTOM
14,có,I-SYMPTOM
14,đờm,I-SYMPTOM
14,và,O
14,cổ,O
14,họng,O
14,bị,O
14,ngứa,B-SYMPTOM
15,Tôi,O
15,thường,O
15,xuyên,O
15,hắt,B-SYMPTOM
15,xì,I-SYMPTOM
15,và,O
15,bị,O
15,tức,B-SYMPTOM
15,xoang,I-SYMPTOM
16,Gần,O
16,đây,O
16,tôi,O
16,bị,O
16,sổ,B-SYMPTOM
16,mũi,I-SYMPTOM
16,liên,I-SYMPTOM
16,tục,I-SYMPTOM
16,và,O
16,cảm,B-SYMPTOM
16,giác,I-SYMPTOM
16,sốt,I-SYMPTOM
17,Tôi,O
17,thấy,O
17,đau,B-SYMPTOM
17,đầu,I-SYMPTOM
17,nhẹ,I-SYMPTOM
17,và,O
17,toàn,B-SYMPTOM
17,thân,I-SYMPTOM
17,nhức,I-SYMPTOM
17,mỏi,I-SYMPTOM
18,Mũi,O
18,tôi,O
18,chảy,B-SYMPTOM
18,mũi,I-SYMPTOM
18,lỏng,I-SYMPTOM
18,và,O
18,tôi,O
18,ho,B-SYMPTOM
18,nhẹ,I-SYMPTOM
19,Tôi,O
19,đang,O
19,bị,O
19,khan,B-SYMPTOM
19,tiếng,I-SYMPTOM
19,và,O
19,bị,O
19,bít,B-SYMPTOM
19,mũi,I-SYMPTOM
20,Tôi,O
20,cũng,O
20,bị,O
20,đau,B-SYMPTOM
20,hốc,I-SYMPTOM
20,mắt,I-SYMPTOM
20,và,O
20,mất,B-SYMPTOM
20,giọng,I-SYMPTOM
21,Tôi,O
21,bị,O
21,ho,B-SYMPTOM
21,dữ,I-SYMPTOM
21,dội,I-SYMPTOM
21,và,O
21,nước,B-SYMPTOM
21,mũi,I-SYMPTOM
21,chảy,I-SYMPTOM
21,ròng,I-SYMPTOM
22,Bác,O
22,sĩ,O
22,cho,O
22,tôi,O
22,biết,O
22,tôi,O
22,có,O
22,bị,O
22,Viêm,B-DISEASE
22,họng,I-DISEASE
22,không,O
23,Tôi,O
23,bị,O
23,nghẹt,B-SYMPTOM
23,mũi,I-SYMPTOM
23,khó,I-SYMPTOM
23,chịu,I-SYMPTOM
23,kèm,O
23,theo,O
23,đau,B-SYMPTOM
23,đầu,I-SYMPTOM
23,nhức,I-SYMPTOM
23,mỏi,I-SYMPTOM
24,Tôi,O
24,thấy,O
24,cơ,B-SYMPTOM
24,thể,I-SYMPTOM
24,đau,I-SYMPTOM
24,nhức,I-SYMPTOM
24,toàn,I-SYMPTOM
24,thân,I-SYMPTOM
24,và,O
24,hắt,B-SYMPTOM
